invoice_number,invoice_date,order_date,order_type,order_quantity,shipped_quantity,sales_amount,unit_price,customer_id,customer_location,customer_department,customer_province,item_id,item_description,item_department,item_section,item_group,warehouse_number,warehouse_name,warehouse_region_name,vendor_number,vendor_name,supplier_id,supplier_name
5886367,2018-11-30,2018-11-29,REGULAR,1,0,0.0,0.0,387,23,30,ARIZONA,729772,PUREL HND SANI REFRSH PMP          ,30,72,15,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
1784186,2019-09-16,2019-09-14,REGULAR,1,0,0.0,0.0,1775,1,60,CALIFORNIA,2426146,GERBER ORG BAN SQUASH     128ML    ,30,21,600,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
5655248,2017-11-25,2017-11-24,REGULAR,1,0,0.0,0.0,2620,21,32,ARIZONA,173195,JAMIESON VIT D 1000IU TAB          ,30,79,36,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
5505722,2020-10-17,2020-10-16,REGULAR,3,0,0.0,0.0,12001,1,0,ARIZONA,6223465,JAMIESON TART  CHERRY+TUR MERIC    ,30,79,46,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832971,THE GROCERY GROUP
1922212,2020-07-16,2020-07-16,REGULAR,1,0,0.0,0.0,271,11,62,CALIFORNIA,6267140,OLDSPICE BW    PURE SPORT          ,30,72,665,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
1500281,2018-01-18,2018-01-15,REGULAR,1,0,0.0,0.0,1775,41,60,CALIFORNIA,421669,PERT HYDRATING  2IN1               ,30,77,286,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
3287111,2020-08-19,2020-08-17,REGULAR,1,0,0.0,0.0,2020,4,64,TEXAS,6247159,OLYMEL BLK FOREST DUO PCK          ,30,49,77,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
5648281,2017-11-14,2017-11-12,REGULAR,1,0,0.0,0.0,2620,21,32,ARIZONA,172247,BIO OIL 125ML                      ,30,72,99,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
3709347,2018-12-18,2018-12-16,REGULAR,1,0,0.0,0.0,2073,91,62,TEXAS,852343,BUCKLEYS LOZNG  CHERRY             ,30,69,250,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
3170687,2020-03-17,2020-03-14,REGULAR,5,0,0.0,0.0,2230,1,30,TEXAS,407502,VICKS NYQUIL   COUGH CHRY  -R      ,30,69,471,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
3856149,2019-08-14,2019-08-13,REGULAR,1,0,0.0,0.0,322,1,62,TEXAS,917609,FINESSE EXTRA  BDY SHMPOO          ,30,77,353,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
